,time,x,y,k,l,E,A
67,6.7,-48.651396285871435,-33.81226204644892,3.2621939169258605,3.1930646969969896,1.0759356297164773,0.03483672221583425
68,6.800000000000001,-47.99531294228853,-33.17008177880361,3.2807612127136236,3.2059686343737934,1.0811906298627911,0.034918346206718964
69,6.9,-47.34198836312004,-32.531651252143256,3.3003868553231093,3.219531973894894,1.086733393549721,0.0350043377126968
70,7.0,-46.69154032938797,-31.89713828934319,3.3211133999268503,3.2337743153877927,1.0925744763569898,0.03509484884793096
71,7.1000000000000005,-46.04408866076785,-31.26671339133012,3.342984094048647,3.24871503889523,1.0987245348944943,0.03519007292092103
72,7.2,-45.39975303701126,-30.64054743537463,3.3660429428161476,3.2643732095577787,1.1051943241337672,0.03529009775485975
73,7.300000000000001,-44.75865378467172,-30.01881228238998,3.390334663221766,3.280767581089877,1.1119946923934925,0.03539506621356597
74,7.4,-44.120911610882196,-29.401680330326517,3.4159046623443365,3.297916553232382,1.1191365728935003,0.035505119522570384
75,7.5,-43.48664783006915,-28.789324533363633,3.442798921149782,3.315838252226173,1.126630979559058,0.035620424943845
76,7.6000000000000005,-42.85598333275774,-28.181917155703662,3.4710640879022336,3.3345503005095,1.1344889874507873,0.035741104818082854
77,7.7,-42.22903825808078,-27.57962925947802,3.5007474900414404,3.3540697716659937,1.1427217300613524,0.03586727632269317
78,7.800000000000001,-41.60593199818799,-26.982630510842906,3.5318970673734698,3.3744132276417043,1.151340396814385,0.03599907037176626
79,7.9,-40.986782916169275,-26.391088681510976,3.564561356033795,3.395596685217513,1.1603562276556598,0.036136614741176305
80,8.0,-40.371708067313456,-25.805169150514498,3.598789474659872,3.417635585366075,1.1697805085982123,0.03628003387941267
81,8.1,-39.76082292616054,-25.225034410298026,3.6346311132989695,3.4405447658976525,1.1796245683716977,0.036429448779332615
82,8.200000000000001,-39.15424112191993,-24.6508435814041,3.672136525653461,3.4643384378146878,1.189899776341364,0.0365849769246221
83,8.3,-38.55207418492892,-24.082751940141424,3.7113565253525094,3.4890301658085594,1.2006175418788017,0.036746732326483386
84,8.4,-37.9544313069132,-23.5209104637073,3.7523424870373545,3.5146328533429947,1.2117893153852504,0.03691482566791709
85,8.5,-37.36141911788246,-22.96546539727205,3.7951463531580263,3.5411587327765885,1.2234265911888194,0.037089364574929486
86,8.6,-36.77314088491403,-22.41655728988244,3.8398204259889326,3.5686187057060605,1.235540769019763,0.037270418333215406
87,8.700000000000001,-36.18969719903803,-21.874321502747435,3.886417714842215,3.5970234363715172,1.2481433936256696,0.03745810870152612
88,8.8,-35.611185523649326,-21.338887535718957,3.934991850011896,3.6263829391146865,1.2612460768051537,0.037652536035064826
89,8.9,-35.03769969206081,-20.81037837616624,3.9855969810914478,3.6567062405593584,1.2748604293606356,0.03785377655773983
90,9.0,-34.469329229617344,-20.288909741272438,4.038287607150067,3.688000975954535,1.2889979713014943,0.03806187057246163
91,9.1,-33.90616092916349,-19.774591435160943,4.0931192578003435,3.7202749366392798,1.3036705009028795,0.03827696762225648
92,9.200000000000001,-33.348276616408725,-19.26752508904105,4.150147725248208,3.753534175810383,1.3188896632093319,0.03849907318604712
93,9.3,-32.795754747868955,-18.76780559620719,4.2094293637911475,3.7877844054245107,1.3346672284321757,0.03872830681483876
94,9.4,-32.24866953854787,-18.275520147226885,4.271020676920705,3.8230303289062713,1.3510149172299162,0.0389647316214183
95,9.5,-31.70709059822969,-17.79074780100025,4.33497946887137,3.8592756946919824,1.367944614742895,0.03920838414851908
96,9.600000000000001,-31.171082871494495,-17.313559475931942,4.401364210193005,3.8965231278015415,1.3854682381724286,0.03945930036490415
97,9.700000000000001,-30.64070834712536,-16.84401946472018,4.470233574201469,3.93477527159639,1.4035978381682168,0.039717643604749324
98,9.8,-30.116021784298432,-16.382181469348964,4.541646171165243,3.9740320261526265,1.4223451226718753,0.03998325879118869
99,9.9,-29.59707583152957,-15.928093291093408,4.615663207317222,4.014293988526685,1.4417224697381605,0.04025636890148617
100,10.0,-29.083918474248705,-15.481794589915395,4.692344544256706,4.055560694095686,1.4617419592370304,0.04053701173913467
101,10.100000000000001,-28.576591355419502,-15.04331529608544,4.771751746148787,4.097829566500193,1.482415754227118,0.040825078900019775
102,10.200000000000001,-28.07513256167919,-14.61267833492562,4.853946581379207,4.141097706553999,1.5037561177203753,0.04112068409002145
103,10.3,-27.579576063229663,-14.189899088225676,4.9389918455384585,4.185361467073613,1.525775496618636,0.04142388881127725
104,10.4,-27.089951241057317,-13.77498508793348,5.026951063391273,4.230616118390939,1.5484864217029273,0.041734710993691096
105,10.5,-26.606282924153405,-13.367936172667475,5.117888529454462,4.276855846785577,1.5719015194842014,0.04205316447662087
106,10.600000000000001,-26.128591211087798,-12.968744477844956,5.211868412380712,4.324073702911203,1.5960333473241646,0.04237924120057619
107,10.700000000000001,-25.656892620731032,-12.577395481884738,5.308957795030931,4.372261838990068,1.6208949831891346,0.04271301781334894
108,10.8,-25.19119787687365,-12.193866466247872,5.409220569559634,4.421411020312619,1.6464988518777461,0.04305437867971384
109,10.9,-24.731515056412654,-11.818129026426647,5.5127248365525885,4.471511273956801,1.672858166959957,0.04340346199807381
110,11.0,-24.27784837654118,-11.450148448072143,5.619539510547503,4.522551647456851,1.699986286769448,0.0437602992736677
111,11.100000000000001,-23.83019675262758,-11.08988270291326,5.729731175484973,4.574519854797667,1.7278960894005349,0.04412477686898349
112,11.200000000000001,-23.388556879562532,-10.737284944636166,5.843369822082651,4.62740292938304,1.75660112221052,0.04449705144334489
113,11.3,-22.95291993622468,-10.392301188836408,5.960525482603832,4.681185833622581,1.7861147874969912,0.04487695118101661
114,11.4,-22.52327352724483,-10.054872099898986,6.081268776699668,4.7358524326606615,1.8164505917045235,0.04526447997266882
115,11.5,-22.099604293082447,-9.724935199076738,6.205672245375513,4.791386663484143,1.8476225670608943,0.04565990253131286
116,11.600000000000001,-21.68189352472081,-9.402421581601514,6.333806740466107,4.847770595721531,1.8796443225492172,0.04606301526179612
117,11.700000000000001,-21.27011626828576,-9.087255401525452,6.465743488075652,4.904983311246412,1.9125292698733105,0.04647347764558713
118,11.8,-20.86425132251536,-8.779361840746994,6.601558155436182,4.963005863793409,1.9462921044423025,0.04689204720948931
119,11.9,-20.464267559110766,-8.478656807714076,6.741323158715216,5.021814754034685,1.980946436058805,0.04731793409010136
120,12.0,-20.07013694997923,-8.185057040820444,6.885114940248377,5.081387922990888,2.0165070144247434,0.04775182108026906
121,12.100000000000001,-19.681823324383334,-7.898471822627325,7.033007393405564,5.14169942095367,2.0529877407352206,0.04819305746318612
122,12.200000000000001,-19.299294501961338,-7.618812195568002,7.185079039846751,5.202724892200033,2.0904038019826876,0.04864243984656088
123,12.3,-18.92250666867589,-7.345979645161691,7.341403347586432,5.2644343430441225,2.1287688287923947,0.04909881165475783
124,12.4,-18.551422844920666,-7.079879782038465,7.502059906009536,5.326800425398283,2.168098179051459,0.04956332922020188
125,12.5,-18.185997058597998,-6.820411015003454,7.667122940322689,5.389791612470775,2.208405805304284,0.05003510043752388
126,12.600000000000001,-17.8261814548144,-6.567469835058409,7.836668552500288,5.4533744200574406,2.2497059505420034,0.050514113852652684
127,12.700000000000001,-17.471931548078242,-6.320954703435758,8.010777065428698,5.517516013126195,2.2920139646641102,0.05100108961472253
128,12.8,-17.123200804247706,-6.080762341616309,8.189529457496947,5.582181733112622,2.3353452898443163,0.05149600720104826
129,12.9,-16.779935838511523,-5.846784622713798,8.373003111694878,5.647332987447198,2.3797143604628426,0.05199811124486953
130,13.0,-16.442078615380733,-5.618910320533156,8.561269574442061,5.712928864641568,2.425134382210691,0.05250690265563042
131,13.100000000000001,-16.10957775516246,-5.397032742056962,8.754410489547507,5.778929034209031,2.47162082371257,0.05302358052220576
132,13.200000000000001,-15.782381009192626,-5.181044837738173,8.952508665865755,5.845291384733424,2.5191893803715812,0.053548236522392524
133,13.3,-15.46042584556835,-4.9708331736736815,9.155634014339652,5.9119693284420896,2.567852862095396,0.054079404974729385
134,13.4,-15.143656852456884,-4.766289330118621,9.363868096964154,5.978916387491382,2.617626615992248,0.05461840023524857
135,13.5,-14.832015139462131,-4.567303213958537,9.577288788247385,6.046083337363668,2.6685251523805578,0.05516481349307789
136,13.600000000000001,-14.525436521005105,-4.373762023165625,9.795967000292123,6.113417540213964,2.720561407358524,0.055717854515163485
137,13.700000000000001,-14.223864413952317,-4.185558427865557,10.019985456987198,6.180866478759177,2.7737509281249233,0.05627900169692183
138,13.8,-13.927229316618382,-4.002577929799438,10.249407690726716,6.248371934266187,2.82810497054888,0.056846005864750596
139,13.9,-13.635475012522239,-3.8247150268469996,10.484317140144483,6.31587725841299,2.8836392210415265,0.057421442122611945
140,14.0,-13.34853096543619,-3.6518565223585715,10.724774828205812,6.383319525815732,2.9403643545856553,0.05800264941782938
141,14.100000000000001,-13.066338711354678,-3.4838974412247614,10.970859561810633,6.450636916169827,2.998295021164846,0.05859206861768647
142,14.200000000000001,-12.788831848714187,-3.320729186034392,11.222636736218044,6.5177629947759925,3.0574428757288112,0.059188179537103626
143,14.3,-12.51594168657558,-3.162242954836569,11.480168399923935,6.5846276049276335,3.1178187136465416,0.05979050551779897
144,14.4,-12.24760449073474,-3.0083340185204284,11.743523679409714,6.651159279884959,3.1794348911289125,0.06040011779810442
145,14.5,-11.983746315196171,-2.8588931180959762,12.012749211661466,6.717281486753148,3.2422988555698145,0.06101474007956078
146,14.600000000000001,-11.724308174939992,-2.7138206633402615,12.28791382148019,6.782919304123327,3.3064230548019937,0.06163773558419961
147,14.700000000000001,-11.469228883743936,-2.573017084028748,12.569081919075096,6.84799417061304,3.371818911491435,0.06226867415793304
148,14.8,-11.218425113114272,-2.4363720394425403,12.85627996590922,6.912417036974517,3.438489119001301,0.06290213299852143
149,14.9,-10.97183558388809,-2.303788611928325,13.149562125366772,6.976103538952054,3.5064428957066314,0.06354336649419079
150,15.0,-10.72940271829559,-2.1751731678934574,13.448986052151369,7.038967430308269,3.5756902798879846,0.0641933669186065
151,15.100000000000001,-10.491047299180991,-2.050422050933472,13.754574251943815,7.100911169347004,3.6462330572008024,0.06484640072282162
152,15.200000000000001,-10.256706771841818,-1.929441841911136,14.06636435409013,7.161840745896029,3.7180768432536815,0.06550672619697358
153,15.3,-10.026311547688977,-1.812136910625329,14.384378384116914,7.221656094472409,3.791223634186965,0.06617230349030002
